qid,difficulty
211,2
210,2
209,3
208,2
207,1
206,3
205,3
204,3
203,2
202,2
201,3
200,2
199,1
198,2
197,2
196,1
195,2
194,2
193,3
192,2
168,1
167,2
166,1
165,2
164,1
163,3
162,2
161,1
160,2
159,2
16,2
158,2
157,1
156,2
155,2
15,2
154,2
153,2
152,1
151,2
106,3
105,3
104,3
103,3
102,3
101,3
100,3
99,3
98,3
97,3
96,2
95,3
94,3
112,3
111,3
110,3
107,3
150,2
149,2
14,2
148,2
147,2
146,2
145,2
144,2
143,1
142,2
141,2
140,2
139,2
13,1
108,2
12,1
138,3
137,2
125,2
136,2
135,2
134,2
133,3
132,2
131,2
130,2
129,3
128,3
127,3
126,2
124,3
123,3
191,2
190,2
189,3
188,2
187,3
186,3
185,3
91,2
92,2
122,2
121,2
93,2
120,3
119,2
118,2
117,2
116,2
115,2
114,1
184,3
183,1
182,2
181,2
180,2
179,2
178,2
177,2
176,2
175,3
174,2
173,2
172,1
171,1
170,2
169,2
113,1
109,2
20,2
90,2
9,2
89,2
88,2
87,2
86,2
85,2
84,2
83,1
82,2
81,2
80,2
79,2
78,2
77,1
76,1
75,2
74,2
73,1
72,2
71,1
70,1
69,1
68,1
22,1
21,1
67,1
7,1
6,1
5,1
66,1
65,1
64,2
63,1
62,1
61,1
60,2
59,2
58,2
57,1
56,2
55,1
54,1
53,1
52,1
51,1
50,1
19,1
18,1
1,1
0,1
49,2
48,1
47,1
46,2
45,2
44,2
43,1
42,1
41,3
40,2
39,2
38,1
37,2
36,1
35,2
34,1
33,1
32,1
31,1
30,1
29,1
28,2
27,1
26,1
25,1
10,1
24,1
11,1
8,1
23,1
3,1
17,1
4,1
2,1
